"source";"translation";"type";"module";"status";"customer"
"ticket priority";"ticket priority";"B";"";"N";"N"
"ticket created from email";"ticket created from email";"B";"";"N";"N"
"ticket status changed";"ticket status changed";"B";"";"N";"N"
"ticket transfered";"ticket transfered";"B";"";"N";"N"
"ticket tags";"ticket tags";"B";"";"N";"N"
"added";"added";"C";"";"N";"N"
"removed";"removed";"C";"";"N";"N"
"ticket tag";"ticket tag";"B";"";"N";"N"
"ticket tags changed";"ticket tags changed";"B";"";"N";"N"
"message";"повідомлення";"B";"";"T";"N"
"Calling";"Calling";"B";"";"N";"N"
"is mandatory";"is mandatory";"C";"";"N";"N"
"has to be longer than %s characters";"has to be longer than %s characters";"C";"";"N";"N"
"has to be shorter than %s characters";"has to be shorter than %s characters";"C";"";"N";"N"
"%s sec";"%s sec";"B";"";"N";"N"
"%s mins";"%s mins";"B";"";"N";"N"
"%s hour";"%s hour";"B";"";"N";"N"
"%s hours";"%s hours";"B";"";"N";"N"
"%s day";"%s day";"B";"";"N";"N"
"%s month";"%s month";"B";"";"N";"N"
"%s months";"%s months";"B";"";"N";"N"
"decades";"decades";"B";"";"N";"N"
"centuries";"centuries";"C";"";"N";"N"
"Agent is busy. Can not transfer ticket.";"Agent is busy. Can not transfer ticket.";"S";"";"N";"N"
"(busy)";"(busy)";"C";"";"N";"N"
"Started from 'Contact Form'";"Started from 'Contact Form'";"B";"";"N";"N"
"Last message from requester (as quoted text)";"Last message from requester (as quoted text)";"S";"";"N";"N"
"One of your rules failed. Please check your rules list.";"One of your rules failed. Please check your rules list.";"S";"";"N";"N"
"Style";"Style";"B";"";"N";"N"
"Integration";"Integration";"B";"";"N";"N"
"Goes to";"Goes to";"C";"";"N";"N"
"Contact form";"Contact form";"B";"";"N";"N"
"Border color";"Border color";"C";"";"N";"N"
"Bottom right";"Bottom right";"C";"";"N";"N"
"Keep resolved";"Keep resolved";"C";"";"N";"N"
"Transfer and reopen";"Transfer and reopen";"C";"";"N";"N"
"Keep answered";"Keep answered";"C";"";"N";"N"
"Transfer and open";"Transfer and open";"C";"";"N";"N"
"Last rule execution caused following error:";"Last rule execution caused following error:";"C";"";"N";"N"
"Broken";"Broken";"C";"";"N";"N"
"Failed to delete %s contact widget(s) %s";"Failed to delete %s contact widget(s) %s";"S";"";"N";"N"
"%s contact widget(s) successfully deleted";"%s contact widget(s) successfully deleted";"S";"";"N";"N"
"Contact widget";"Contact widget";"B";"";"N";"N"
"waited %s for the answer before hangup";"waited %s for the answer before hangup";"S";"";"N";"N"
"is calling with";"is calling with";"B";"";"N";"N"
"Unable to execute all rule (%s) actions: %s";"Unable to execute all rule (%s) actions: %s";"S";"";"N";"N"
"License type:";"License type:";"C";"";"N";"N"
"Product homepage:";"Product homepage:";"C";"";"N";"N"
"Contact button";"Contact button";"B";"";"N";"N"
"contact button";"contact button";"B";"";"N";"N"
"Create contact form";"Create contact form";"C";"";"N";"N"
"ID: %s";"ID: %s";"C";"";"N";"N"
"You can submit messages while waiting";"You can submit messages while waiting";"B";"";"N";"N"
"Chat ended";"Chat ended";"C";"";"N";"N"
"Create rule";"Create rule";"C";"";"N";"N"
"ActionName";"ActionName";"C";"";"N";"N"
"Bottom left";"Bottom left";"C";"";"N";"N"
"Classic";"Classic";"C";"";"N";"N"
"has to be whole number";"has to be whole number";"C";"";"N";"N"
"has to be equal or greater than %s";"has to be equal or greater than %s";"C";"";"N";"N"
"provides";"provides";"B";"";"N";"N"
"and goes to";"and goes to";"B";"";"N";"N"
"Deleted";"Deleted";"B";"";"N";"N"
"deleted ticket";"deleted ticket";"B";"";"N";"N"
"undeleted ticket";"undeleted ticket";"B";"";"N";"N"
"Conversation deleted.";"Conversation deleted.";"S";"";"N";"N"
"Label";"Label";"C";"";"N";"N"
"%s must be unique";"%s must be unique";"C";"";"N";"N"
"Delete note (visible to agents only)";"Delete note (visible to agents only)";"C";"";"N";"N"
"Undelete";"Undelete";"C";"";"N";"N"
"manual delete";"manual delete";"B";"";"N";"N"
"delete ticket";"delete ticket";"B";"";"N";"N"
"Keep ticket state";"Keep ticket state";"C";"";"N";"N"
"ticket deleted";"ticket deleted";"B";"";"N";"N"
"%s years ago";"%s years ago";"B";"";"N";"N"
"%s decades ago";"%s decades ago";"B";"";"N";"N"
"%s centuries ago";"%s centuries ago";"B";"";"N";"N"
"Agent signature";"Agent signature";"S";"";"N";"N"
"Gender";"Gender";"B";"";"N";"N"
"This mail was generated for test your mail account setting.";"This mail was generated for test your mail account setting.";"S";"";"N";"N"
"Sincerely";"Sincerely";"S";"";"N";"N"
"Your system mail account is configured correctly.";"Your system mail account is configured correctly.";"S";"";"N";"N"
"Your installation is capable of sending emails.";"Your installation is capable of sending emails.";"S";"";"N";"N"
"Male";"Male";"C";"";"N";"N"
"Female";"Female";"C";"";"N";"N"
"Footer text";"Footer text";"C";"";"N";"N"
"upgrade your account";"upgrade your account";"C";"";"N";"N"
"Branding free feature";"Branding free feature";"C";"";"N";"N"
"Default logo";"Default logo";"C";"";"N";"N"
"Default logo will be used on Home page, in ticket history window and as a default logo for all new contact widgets.";"Default logo will be used on Home page, in ticket history window and as a default logo for all new contact widgets.";"C";"";"N";"N"
"Title of Home page, ticket history window and as a default title for all new contact widgets.";"Title of Home page, ticket history window and as a default title for all new contact widgets.";"C";"";"N";"N"
"You need to %s if you want to change this text.";"You need to %s if you want to change this text.";"C";"";"N";"N"
"You need to buy %s if you want to change this text.";"You need to buy %s if you want to change this text.";"C";"";"N";"N"
"Squared chat";"Squared chat";"C";"";"N";"N"
"Classic chat";"Classic chat";"C";"";"N";"N"
"embedded in page";"embedded in page";"C";"";"N";"N"
"popup window";"popup window";"C";"";"N";"N"
"Border";"Border";"B";"";"N";"N"
"Button";"Button";"C";"";"N";"N"
"Agent message";"Agent message";"C";"";"N";"N"
"Visitor message";"Visitor message";"C";"";"N";"N"
"width";"width";"C";"";"N";"N"
"height";"height";"C";"";"N";"N"
"Squared";"Squared";"C";"";"N";"N"
"Dark";"Dark";"C";"";"N";"N"
"Form";"Form";"C";"";"N";"N"
"Signature";"Signature";"C";"";"N";"N"
"Agent with selected email already exists";"Agent with selected email already exists";"S";"";"N";"N"
"%s saved.";"%s saved.";"S";"";"N";"N"
"Department with id '%s' does not exist";"Department with id '%s' does not exist";"S";"";"N";"N"
"Knowledgebase";"Knowledgebase";"B";"";"N";"N"
"Order";"Order";"S";"";"N";"N"
"Knowledgebase entry";"Knowledgebase entry";"S";"";"N";"N"
"Type your question here ...";"Type your question here ...";"B";"";"N";"N"
"Overview";"Overview";"B";"";"N";"N"
"Ticket owner email";"Ticket owner email";"B";"";"N";"N"
"Click on the panel to change its color and font.";"Click on the panel to change its color and font.";"S";"";"N";"N"
"You can also select from";"You can also select from";"S";"";"N";"N"
"and adjust them";"and adjust them";"S";"";"N";"N"
"Use following path to setup email piping:";"Use following path to setup email piping:";"S";"";"N";"N"
"For more information about email piping please read ";"For more information about email piping please read ";"S";"";"N";"N"
"How to setup email piping";"How to setup email piping";"S";"";"N";"N"
"Categories";"Категорії";"B";"";"T";"N"
"Other Articles";"Інші статті";"S";"";"T";"N"
"Most Popular Articles";"Популярні статті";"S";"";"T";"N"
"Special template defined for";"Special template defined for";"C";"";"N";"N"
"(%s department)";"(%s department)";"C";"";"N";"N"
"Clone";"Clone";"C";"";"N";"N"
"Knowledgebase search widget";"Knowledgebase search widget";"C";"";"N";"N"
"create department specific template";"create department specific template";"C";"";"N";"N"
"Global template is used";"Global template is used";"C";"";"N";"N"
"Mail account";"Mail account";"B";"";"N";"N"
"This mail account will be used for notification emails sent from this department";"This mail account will be used for notification emails sent from this department";"C";"";"N";"N"
"Category";"Category";"B";"";"N";"N"
"Knowledgebase design presets";"Knowledgebase design presets";"C";"";"N";"N"
"Create knowledgebase search widget";"Create knowledgebase search widget";"C";"";"N";"N"
"Search box hint";"Search box hint";"C";"";"N";"N"
"Article";"Article";"B";"";"N";"N"
"Create article";"Create article";"C";"";"N";"N"
"Access";"Access";"C";"";"N";"N"
"Keywords";"Keywords";"B";"";"N";"N"
"Create category";"Create category";"C";"";"N";"N"
"Public";"Public";"B";"";"N";"N"
"Internal";"Internal";"C";"";"N";"N"
"Published";"Published";"B";"";"N";"N"
"Draft";"Draft";"B";"";"N";"N"
"Search results";"Search results";"B";"";"N";"N"
"created from contact widget";"created from contact widget";"B";"";"N";"N"
"No results matching your query.";"No results matching your query.";"C";"";"N";"N"
"Browse knowledgebase";"Browse knowledgebase";"C";"";"N";"N"
"Move";"Move";"C";"";"N";"N"
"There are no tickets matching your search";"There are no tickets matching your search";"S";"";"N";"N"
"Menu";"Menu";"B";"";"N";"N"
"App ID/API Key";"App ID/API Key";"B";"";"N";"N"
"App Secret";"App Secret";"B";"";"N";"N"
"Facebook integration";"Facebook integration";"B";"";"N";"N"
"Facebook";"Facebook";"B";"";"N";"N"
"Chat text";"Chat text";"S";"";"N";"N"
"Send transcript";"Send transcript";"B";"";"N";"N"
"Chat transcript";"Chat transcript";"B";"";"N";"N"
"joined the chat";"joined the chat";"B";"";"N";"N"
"Invite";"Invite";"C";"";"N";"N"
"Invite:";"Invite:";"C";"";"N";"N"
"Sum up why you are inviting this agent to chat (Visible to agent only)";"Sum up why you are inviting this agent to chat (Visible to agent only)";"C";"";"N";"N"
"invited";"invited";"B";"";"N";"N"
"There are no tickets matching your filter";"There are no tickets matching your filter";"C";"";"N";"N"
"Show if open";"Show if open";"C";"";"N";"N"
"more filters";"more filters";"C";"";"N";"N"
"Pause";"Pause";"C";"";"N";"N"
"Transcript will be sent to your email address once the chat is finished";"Transcript will be sent to your email address once the chat is finished";"C";"";"N";"N"
"Transcript will be sent to your email address";"Transcript will be sent to your email address";"C";"";"N";"N"
"Type a category";"Type a category";"C";"";"N";"N"
"Create category and insert to parent";"Create category and insert to parent";"C";"";"N";"N"
"Note: Internal by parent category";"Note: Internal by parent category";"C";"";"N";"N"
"Do not have an account?";"Do not have an account?";"B";"";"N";"N"
"Register";"Зареєструватися";"B";"";"T";"N"
"Passwords do not match";"Паролі не співпадають";"C";"";"T";"N"
"Ticket id";"Ticket id";"S";"";"N";"N"
"Chat Invitation";"Chat Invitation";"C";"";"N";"N"
"by";"";"B";"";"T";"N"
"Departments statuses";"Departments statuses";"C";"";"N";"N"
"My tickets";"Мої заявки";"B";"";"T";"N"
"Confirm message";"Confirm message";"C";"";"N";"N"
"Add note and reopen";"Add note and reopen";"C";"";"N";"N"
"Reopen";"Reopen";"B";"";"N";"N"
"Leave";"Leave";"C";"";"N";"N"
"End";"End";"C";"";"N";"N"
"Facebook pages";"Facebook pages";"C";"";"N";"N"
"Select category";"Select category";"C";"";"N";"N"
"agent rated";"agent rated";"B";"";"N";"N"
"agent rating type";"agent rating type";"B";"";"N";"N"
"It was OK, close";"It was OK, close";"C";"";"N";"N"
"Forward";"Forward";"C";"";"N";"N"
"Facebook page";"Facebook page";"B";"";"N";"N"
"Welcome to our Support Portal";"Вітаємо на нашому порталі підтримки";"B";"";"T";"N"
"Inactive";"Inactive";"B";"";"N";"N"
"Failed to undelete %s %s(s)";"Failed to undelete %s %s(s)";"S";"";"N";"N"
"%s %s(s) successfully undeleted";"%s %s(s) successfully undeleted";"S";"";"N";"N"
"same department";"same department";"B";"";"N";"N"
"Twitter account";"Twitter account";"B";"";"N";"N"
"Twitter integration";"Twitter integration";"B";"";"N";"N"
"Twitter";"Twitter";"B";"";"N";"N"
"Error while fetching twitter search %s: %s";"Error while fetching twitter search %s: %s";"S";"";"N";"N"
"Tweet for search: ";"Tweet for search: ";"B";"";"N";"N"
"You not have permissions to view ticket with id ""%s""";"You not have permissions to view ticket with id ""%s""";"S";"";"N";"N"
"Ask new question";"Ask new question";"B";"";"N";"N"
"Found";"Found";"S";"";"N";"N"
"question(s)";"question(s)";"S";"";"N";"N"
"Last post: ";"Last post: ";"C";"";"N";"N"
"No posts";"No posts";"C";"";"N";"N"
"Include suggestions from";"Include suggestions from";"C";"";"N";"N"
"Are you sure you want to delete selected entry?";"Are you sure you want to delete selected entry?";"C";"";"N";"N"
"Are you sure you want to mark as deleted selected entry?";"Are you sure you want to mark as deleted selected entry?";"C";"";"N";"N"
"Question";"Question";"C";"";"N";"N"
"Add some details";"Add some details";"C";"";"N";"N"
"Export to CSV";"Export to CSV";"C";"";"N";"N"
"mark as spam";"mark as spam";"B";"";"N";"N"
"Department that will solve tickets from this account";"Department that will solve tickets from this account";"C";"";"N";"N"
"No linked accounts.";"No linked accounts.";"C";"";"N";"N"
"Searches";"Searches";"C";"";"N";"N"
"Twitter accounts";"Twitter accounts";"C";"";"N";"N"
"Add twitter account";"Add twitter account";"C";"";"N";"N"
"Twitter application";"Twitter application";"C";"";"N";"N"
"To allow reading and posting tweets, you need to setup a twitter app and enter credentials of this application to the form below.";"To allow reading and posting tweets, you need to setup a twitter app and enter credentials of this application to the form below.";"C";"";"N";"N"
"How to setup twitter application";"How to setup twitter application";"C";"";"N";"N"
"%s of %s characters used";"%s of %s characters used";"C";"";"N";"N"
"Registration successful. Please check your email and follow link in the registration email to set up your password and activate account";"Registration successful. Please check your email and follow link in the registration email to set up your password and activate account";"B";"";"N";"N"
"Ask question";"Ask question";"B";"";"N";"N"
"Type your answer here ...";"Type your answer here ...";"B";"";"N";"N"
"Call";"Call";"B";"";"N";"N"
"Chat from %s";"Chat from %s";"S";"";"N";"N"
"Fetching tweets failed - see Event logs";"Fetching tweets failed - see Event logs";"B";"";"N";"N"
"Call from %s";"Call from %s";"S";"";"N";"N"
"Invitation from %s";"Invitation from %s";"S";"";"N";"N"
"Remove promoted mark";"Remove promoted mark";"C";"";"N";"N"
"Mark as promoted";"Mark as promoted";"C";"";"N";"N"
"Forum";"Forum";"B";"";"N";"N"
"Create forum";"Create forum";"C";"";"N";"N"
"Topic";"Topic";"B";"";"N";"N"
"Create topic";"Create topic";"C";"";"N";"N"
"open in new window";"open in new window";"C";"";"N";"N"
"10s";"10s";"C";"";"N";"N"
"20s";"20s";"C";"";"N";"N"
"Under review";"Under review";"B";"";"N";"N"
"Planned";"Planned";"B";"";"N";"N"
"Started";"Started";"B";"";"N";"N"
"Completed";"Completed";"B";"";"N";"N"
"Nothing to import, vBulletin tables (vb_post, vb_thread, vb_user) are not in current database.";"Nothing to import, vBulletin tables (vb_post, vb_thread, vb_user) are not in current database.";"S";"";"N";"N"
"Each 4 hours";"Each 4 hours";"B";"";"N";"N"
"No suggestions";"No suggestions";"S";"";"N";"N"
"Add new suggestion";"Add new suggestion";"B";"";"N";"N"
"suggestion(s)";"suggestion(s)";"S";"";"N";"N"
"close";"close";"C";"";"N";"N"
"Facebook application";"Facebook application";"C";"";"N";"N"
"Suggestion category";"Suggestion category";"B";"";"N";"N"
"Suggestion Category";"Suggestion Category";"C";"";"N";"N"
"Create suggestion category";"Create suggestion category";"C";"";"N";"N"
"Suggestion";"Suggestion";"B";"";"N";"N"
"Create suggestion";"Create suggestion";"C";"";"N";"N"
"You can close this window now";"You can close this window now";"S";"";"N";"N"
"Retweet";"Retweet";"B";"";"N";"N"
"retweeted";"retweeted";"B";"";"N";"N"
"Textbox";"Textbox";"C";"";"N";"N"
"Listbox";"Listbox";"C";"";"N";"N"
"Incoming Chat";"Incoming Chat";"C";"";"N";"N"
"Incoming call";"Incoming call";"C";"";"N";"N"
"Suggestions";"Suggestions";"S";"";"N";"N"
"votes";"votes";"B";"";"N";"N"
"moved ticket from";"moved ticket from";"B";"";"N";"N"
"changed status from";"changed status from";"B";"";"N";"N"
"You are no longer following this topic.";"You are no longer following this topic.";"S";"";"N";"N"
"%s Answers";"%s Answers";"B";"";"N";"N"
"%s Answer";"%s Answer";"B";"";"N";"N"
"No answers";"No answers";"S";"";"N";"N"
"%s Promoted answers";"%s Promoted answers";"S";"";"N";"N"
"%s Promoted answer";"%s Promoted answer";"S";"";"N";"N"
"Anonymous";"Anonymous";"B";"";"N";"N"
"%s years";"%s years";"B";"";"N";"N"
"%s decades";"%s decades";"S";"";"N";"N"
"%s centuries";"%s centuries";"S";"";"N";"N"
"After clicking call, you may be asked to confirm following popup:";"After clicking call, you may be asked to confirm following popup:";"S";"";"N";"N"
"view all";"view all";"S";"";"N";"N"
"Search suggestions";"Search suggestions";"B";"";"N";"N"
"Add suggestion";"Add suggestion";"B";"";"N";"N"
"agent";"agent";"B";"";"N";"N"
"Load more topics";"Load more topics";"S";"";"N";"N"
"not commented yet";"not commented yet";"S";"";"N";"N"
"Submit ticket";"Створити заявку";"B";"";"T";"N"
"Category results:";"Category results:";"S";"";"N";"N"
"Results in all categories:";"Results in all categories:";"S";"";"N";"N"
"I voted";"I voted";"B";"";"N";"N"
"Call button";"Call button";"B";"";"N";"N"
"Suggestion button";"Suggestion button";"B";"";"N";"N"
"New line separated values";"New line separated values";"C";"";"N";"N"
"Listbox values";"Listbox values";"C";"";"N";"N"
"CheckBoxGroup values";"CheckBoxGroup values";"C";"";"N";"N"
"CheckboxGroup";"CheckboxGroup";"C";"";"N";"N"
"Call %s";"Call %s";"C";"";"N";"N"
"Alias";"Alias";"C";"";"N";"N"
"Clear logs";"Clear logs";"C";"";"N";"N"
"Are you sure you want to clear all logs?";"Are you sure you want to clear all logs?";"C";"";"N";"N"
"You can define specific signatures here";"You can define specific signatures here";"C";"";"N";"N"
"Facebook post can not be opened";"Facebook post can not be opened";"C";"";"N";"N"
"Login with Facebook";"Увійти з Facebook";"C";"";"T";"N"
"5s";"5s";"C";"";"N";"N"
"Submit ticket form";"Submit ticket form";"C";"";"N";"N"
"Require authentication";"Require authentication";"C";"";"N";"N"
"If selected, user will need to be logged in to read ticket history.";"If selected, user will need to be logged in to read ticket history.";"C";"";"N";"N"
"You can select one of your contact buttons which settings will be used after users clicks contact support option.";"You can select one of your contact buttons which settings will be used after users clicks contact support option.";"C";"";"N";"N"
"Twilio integration";"Twilio integration";"C";"";"N";"N"
"Request URL";"Request URL";"C";"";"N";"N"
"Twilio account";"Twilio account";"C";"";"N";"N"
"How to connect with Twilio.";"How to connect with Twilio.";"C";"";"N";"N"
"There are no suggestion matching your search.";"There are no suggestion matching your search.";"C";"";"N";"N"
"not you?";"not you?";"C";"";"N";"N"
"Validating email ...";"Validating email ...";"C";"";"N";"N"
"Permission denied";"Permission denied";"S";"";"N";"N"
"Call and chat with us directly from your computer";"Call and chat with us directly from your computer";"B";"";"N";"N"
"contact us directly";"contact us directly";"S";"";"N";"N"
"Logged in as agent";"Logged in as agent";"S";"";"N";"N"
"go to agent panel";"go to agent panel";"S";"";"N";"N"
"If checked, agents will be able to change their status in department on their own. Otherwise only admin can do this.";"If checked, agents will be able to change their status in department on their own. Otherwise only admin can do this.";"C";"";"N";"N"
"From-Name";"From-Name";"C";"";"N";"N"
"Name your button for example 'Main page button' so you can identify it easily once you create multiple buttons. This name will be shown in list of buttons.";"Name your button for example 'Main page button' so you can identify it easily once you create multiple buttons. This name will be shown in list of buttons.";"C";"";"N";"N"
"Select department which will handle tickets created from this button.";"Select department which will handle tickets created from this button.";"C";"";"N";"N"
"2/3 of window";"2/3 of window";"C";"";"N";"N"
"3/4 of window";"3/4 of window";"C";"";"N";"N"
"(Loading users...)";"(Loading users...)";"C";"";"N";"N"
"(Loading agents...)";"(Loading agents...)";"C";"";"N";"N"
"(Loading departments...)";"(Loading departments...)";"C";"";"N";"N"
"message added by %s";"message added by %s";"C";"";"N";"N"
"assigned to %s";"assigned to %s";"C";"";"N";"N"
"created %s";"created %s";"C";"";"N";"N"
"in department %s";"in department %s";"C";"";"N";"N"
"message added %s";"message added %s";"C";"";"N";"N"
"requested by %s";"requested by %s";"C";"";"N";"N"
"with status %s";"with status %s";"C";"";"N";"N"
"from %s";"from %s";"C";"";"N";"N"
"Modify";"Modify";"C";"";"N";"N"
"You can also chat in this call";"You can also chat in this call";"B";"";"N";"N"
"Call finished.";"Call finished.";"C";"";"N";"N"
"matches any of regular expressions";"matches any of regular expressions";"B";"";"N";"N"
"Regular Expressions must be enclosed in a pair of delimiters. (e.g. /pattern/)";"Regular Expressions must be enclosed in a pair of delimiters. (e.g. /pattern/)";"C";"";"N";"N"
"Display contact us option";"Display contact us option";"C";"";"N";"N"
"forward email to";"forward email to";"B";"";"N";"N"
"ticket source";"ticket source";"B";"";"N";"N"
"contains tag %s";"contains tag %s";"C";"";"N";"N"
"Caller ID";"Caller ID";"C";"";"N";"N"
"You must specify caller ID if you want to make outgoing calls from your agent panel. Caller ID must be a one of the numbers you have in your Twilio account.";"You must specify caller ID if you want to make outgoing calls from your agent panel. Caller ID must be a one of the numbers you have in your Twilio account.";"C";"";"N";"N"
"Call widget";"Call widget";"B";"";"N";"N"
"I suggest to";"I suggest to";"C";"";"N";"N"
"Review your suggestion";"Review your suggestion";"C";"";"N";"N"
"Your suggestion:";"Your suggestion:";"C";"";"N";"N"
"Similar suggestions:";"Similar suggestions:";"C";"";"N";"N"
"Post my suggestion";"Post my suggestion";"C";"";"N";"N"
"Thanks";"Thanks";"C";"";"N";"N"
"Thanks for your suggestion";"Thanks for your suggestion";"C";"";"N";"N"
"To make it count, please confirm your account in the notification email we have sent you";"To make it count, please confirm your account in the notification email we have sent you";"C";"";"N";"N"
"from %s to %s";"from %s to %s";"C";"";"N";"N"
"X";"X";"C";"";"N";"N"
"Select allow and remember";"Select allow and remember";"S";"";"N";"N"
"Popup window position";"Popup window position";"C";"";"N";"N"
"Float side";"Float side";"C";"";"N";"N"
"Float position";"Float position";"C";"";"N";"N"
"Cc";"Cc";"C";"";"N";"N"
"You are paused %s";"You are paused %s";"C";"";"N";"N"
"Transcript will be sent to your email address once the call&chat is finished";"Transcript will be sent to your email address once the call&chat is finished";"C";"";"N";"N"
"You need to install flash to be able to call directly from your browser.";"You need to install flash to be able to call directly from your browser.";"C";"";"N";"N"
"Dialing...";"Dialing...";"C";"";"N";"N"
"Visitor type";"Visitor type";"C";"";"N";"N"
"Corner";"Corner";"C";"";"N";"N"
"Loading title";"Loading title";"C";"";"N";"N"
"Displayed until phone client is loaded and call button appears.";"Displayed until phone client is loaded and call button appears.";"C";"";"N";"N"
"Call us title";"Call us title";"C";"";"N";"N"
"Displayed above the Call us button.";"Displayed above the Call us button.";"C";"";"N";"N"
"Call us description";"Call us description";"C";"";"N";"N"
"Displayed below the Call us button. (You can use it to show your landline number)";"Displayed below the Call us button. (You can use it to show your landline number)";"C";"";"N";"N"
"Operator";"Operator";"C";"";"N";"N"
"Action";"Action";"B";"";"N";"N"
"Setting";"Setting";"C";"";"N";"N"
"can not be called (invalid number)";"can not be called (invalid number)";"S";"";"N";"N"
"Can not send message: %s";"Can not send message: %s";"S";"";"N";"N"
"Call buttons";"Call buttons";"C";"";"N";"N"
"Not displayed yet";"Not displayed yet";"C";"";"N";"N"
"Last display %s";"Last display %s";"C";"";"N";"N"
"Admins";"Admins";"B";"";"N";"N"
"Conversation created from mail";"Conversation created from mail";"B";"";"N";"N"
"Conversation created";"Conversation created";"B";"";"N";"N"
"Conversation status changed";"Conversation status changed";"B";"";"N";"N"
"Conversation transfered";"Conversation transfered";"B";"";"N";"N"
"Closed";"Закриті";"B";"";"T";"N"
"Loading window content";"Loading window content";"S";"";"N";"N"
"Please wait";"Please wait";"S";"";"N";"N"
"translate system and client texts, these form fields will be translate only if text contains translate marks %s";"translate system and client texts, these form fields will be translate only if text contains translate marks %s";"C";"";"N";"N"
"To import new language to the system, click on ""Import"" icon next to language that you would like to import.";"To import new language to the system, click on ""Import"" icon next to language that you would like to import.";"S";"";"N";"N"
"Mark answered";"Mark answered";"C";"";"N";"N"
"Selected category with id '%s' does not exist";"Selected category with id '%s' does not exist";"S";"";"N";"N"
"Suggestion category will be deleted and all its buttons moved";"Suggestion category will be deleted and all its buttons moved";"S";"";"N";"N"
"Suggestion category and all its buttons will be deleted";"Suggestion category and all its buttons will be deleted";"S";"";"N";"N"
"e-mail";"e-mail";"S";"";"N";"N"
"password";"password";"S";"";"N";"N"
"It contains %s with contact widget elements. Delete it first";"It contains %s with contact widget elements. Delete it first";"C";"";"N";"N"
"Move these buttons to category";"Move these buttons to category";"C";"";"N";"N"
"Delete category and move all in it";"Delete category and move all in it";"C";"";"N";"N"
"Delete category and all in it";"Delete category and all in it";"C";"";"N";"N"
"Delete Suggestion category";"Delete Suggestion category";"C";"";"N";"N"
"Are you sure you want to delete suggestion category %s?";"Are you sure you want to delete suggestion category %s?";"C";"";"N";"N"
"Invalid password request.";"Invalid password request.";"S";"";"N";"N"
"Passwords do not match.";"Passwords do not match.";"S";"";"N";"N"
"Chat button";"Chat button";"B";"";"N";"N"
"When chat is available, chat button is displayed and it immediately opens chat window.";"When chat is available, chat button is displayed and it immediately opens chat window.";"B";"";"N";"N"
"When chat is available, chat button is displayed and it opens contact form where user can start chat or send message.";"When chat is available, chat button is displayed and it opens contact form where user can start chat or send message.";"B";"";"N";"N"
"When chat is not available, chat button is not displayed.";"When chat is not available, chat button is not displayed.";"B";"";"N";"N"
"When chat is not available, contact button is displayed and it opens contact form.";"When chat is not available, contact button is displayed and it opens contact form.";"B";"";"N";"N"
"Tickets created from this button are handled by";"Tickets created from this button are handled by";"B";"";"N";"N"
".";".";"B";"";"N";"N"
"Contact form is immediately shown in a page.";"Contact form is immediately shown in a page.";"B";"";"N";"N"
"Tickets created from this form are handled by";"Tickets created from this form are handled by";"B";"";"N";"N"
"Knowledgebase search widget search in";"Knowledgebase search widget search in";"B";"";"N";"N"
"Forgot password?";"Forgot password?";"S";"";"N";"N"
"Send me new password";"Send me new password";"S";"";"N";"N"
"Invalid password reset link.";"Invalid password reset link.";"S";"";"N";"N"
"Request new link.";"Request new link.";"S";"";"N";"N"
"repeat password";"repeat password";"S";"";"N";"N"
"Set password and login";"Set password and login";"S";"";"N";"N"
"Fields";"Fields";"C";"";"N";"N"
"Design";"Design";"C";"";"N";"N"
"Let visitor choose department";"Let visitor choose department";"C";"";"N";"N"
"Customize button design";"Customize button design";"C";"";"N";"N"
"Web admin email";"Web admin email";"C";"";"N";"N"
"Put this code on my page please";"Put this code on my page please";"C";"";"N";"N"
"Send code to your web admin";"Send code to your web admin";"C";"";"N";"N"
"Create chat button";"Create chat button";"B";"";"N";"N"
"Last displayed %s at %s";"Last displayed %s at %s";"C";"";"N";"N"
"Name your form for example 'Main page form' so you can identify it easily once you create multiple forms. This name will be shown in list of forms.";"Name your form for example 'Main page form' so you can identify it easily once you create multiple forms. This name will be shown in list of forms.";"C";"";"N";"N"
"Select department which will handle tickets created from this form.";"Select department which will handle tickets created from this form.";"C";"";"N";"N"
"You are logged in on another device.";"You are logged in on another device.";"C";"";"N";"N"
"Login on this device";"Login on this device";"C";"";"N";"N"
"Back to tickets";"Back to tickets";"B";"";"N";"N"
"Back to home";"Back to home";"C";"";"N";"N"
"Previous ticket";"Previous ticket";"C";"";"N";"N"
"Next ticket";"Next ticket";"C";"";"N";"N"
"Back to ticket";"Back to ticket";"C";"";"N";"N"
"Tap to load more ...";"Tap to load more ...";"C";"";"N";"N"
"Loading";"Loading";"C";"";"N";"N"
"%sd";"%sd";"C";"";"N";"N"
"%sh";"%sh";"C";"";"N";"N"
"%sm";"%sm";"C";"";"N";"N"
"%ss";"%ss";"C";"";"N";"N"
"%sw";"%sw";"C";"";"N";"N"
"%s week";"%s week";"C";"";"N";"N"
"%s weeks";"%s weeks";"C";"";"N";"N"
"%s week ago";"%s week ago";"C";"";"N";"N"
"%s weeks ago";"%s weeks ago";"C";"";"N";"N"
"%sy";"%sy";"C";"";"N";"N"
"%s year";"%s year";"C";"";"N";"N"
"%s year ago";"%s year ago";"C";"";"N";"N"
"Error while deleting view";"Error while deleting view";"S";"";"N";"N"
"Account";"Account";"S";"";"N";"N"
"Database";"Database";"S";"";"N";"N"
